Time,Sequence Number,Event
0,1,send
0,1,transmit
0.20800000000000002,1001,ack
0.20800000000000002,1001,send
0.20800000000000002,2001,send
0.20800000000000002,1001,transmit
0.21600000000000003,2001,transmit
0.41600000000000004,2001,ack
0.41600000000000004,3001,send
0.41600000000000004,4001,send
0.41600000000000004,3001,transmit
0.42400000000000004,3001,ack
0.42400000000000004,5001,send
0.42400000000000004,6001,send
0.42400000000000004,4001,transmit
0.43200000000000005,5001,transmit
0.44000000000000006,6001,transmit
0.624,4001,ack
0.624,7001,send
0.624,8001,send
0.624,7001,transmit
0.632,5001,ack
0.632,9001,send
0.632,10001,send
0.632,8001,transmit
0.64,6001,ack
0.64,11001,send
0.64,12001,send
0.64,9001,transmit
0.648,7001,ack
0.648,13001,send
0.648,14001,drop
0.648,10001,transmit
0.656,11001,transmit
0.664,12001,transmit
0.672,13001,transmit
0.832,8001,ack
0.832,15001,send
0.832,16001,send
0.832,15001,transmit
0.84,9001,ack
0.84,17001,send
0.84,18001,send
0.84,16001,transmit
0.848,10001,ack
0.848,19001,send
0.848,20001,send
0.848,17001,transmit
0.856,11001,ack
0.856,21001,send
0.856,22001,send
0.856,18001,transmit
0.864,12001,ack
0.864,23001,send
0.864,24001,send
0.864,19001,transmit
0.872,13001,ack
0.872,25001,send
0.872,26001,send
0.872,20001,transmit
0.88,14001,ack
0.88,27001,send
0.88,28001,drop
0.88,21001,transmit
0.888,22001,transmit
0.896,23001,transmit
0.904,24001,transmit
0.912,25001,transmit
0.92,26001,transmit
0.928,27001,transmit
1.04,14001,ack
1.048,14001,ack
1.056,14001,ack
1.056,14001,send
1.056,14001,transmit
1.064,14001,ack
1.072,14001,ack
1.08,14001,ack
1.088,14001,ack
1.096,14001,ack
1.104,14001,ack
1.112,14001,ack
1.12,14001,ack
1.1280000000000001,14001,ack
1.1360000000000001,14001,ack
1.2640000000000002,28001,ack
1.2640000000000002,28001,send
1.2640000000000002,29001,send
1.2640000000000002,28001,transmit
1.2720000000000002,29001,transmit
1.4720000000000004,29001,ack
1.4720000000000004,30001,send
1.4720000000000004,31001,send
1.4720000000000004,30001,transmit
1.4800000000000004,30001,ack
1.4800000000000004,32001,send
1.4800000000000004,33001,send
1.4800000000000004,31001,transmit
1.4880000000000004,32001,transmit
1.4960000000000004,33001,transmit
1.6800000000000006,31001,ack
1.6800000000000006,34001,send
1.6800000000000006,35001,send
1.6800000000000006,34001,transmit
1.6880000000000006,32001,ack
1.6880000000000006,36001,send
1.6880000000000006,37001,send
1.6880000000000006,35001,transmit
1.6960000000000006,33001,ack
1.6960000000000006,38001,send
1.6960000000000006,39001,send
1.6960000000000006,36001,transmit
1.7040000000000006,34001,ack
1.7040000000000006,40001,send
1.7040000000000006,37001,transmit
1.7120000000000006,38001,transmit
1.7200000000000006,39001,transmit
1.7280000000000006,40001,transmit
1.8880000000000008,35001,ack
1.8880000000000008,41001,send
1.8880000000000008,41001,transmit
1.8960000000000008,36001,ack
1.8960000000000008,42001,send
1.8960000000000008,42001,transmit
1.9040000000000008,37001,ack
1.9040000000000008,43001,send
1.9040000000000008,43001,transmit
1.9120000000000008,38001,ack
1.9120000000000008,44001,send
1.9120000000000008,44001,transmit
1.9200000000000008,39001,ack
1.9200000000000008,45001,send
1.9200000000000008,45001,transmit
1.9280000000000008,40001,ack
1.9280000000000008,46001,send
1.9280000000000008,47001,send
1.9280000000000008,46001,transmit
1.9360000000000008,41001,ack
1.9360000000000008,48001,send
1.9360000000000008,47001,transmit
1.9440000000000008,48001,transmit
2.096000000000001,42001,ack
2.096000000000001,49001,send
2.096000000000001,49001,transmit
2.104000000000001,43001,ack
2.104000000000001,50001,send
2.104000000000001,50001,transmit
2.112000000000001,44001,ack
2.112000000000001,51001,send
2.112000000000001,51001,transmit
2.120000000000001,45001,ack
2.120000000000001,52001,send
2.120000000000001,52001,transmit
2.128000000000001,46001,ack
2.128000000000001,53001,send
2.128000000000001,53001,transmit
2.136000000000001,47001,ack
2.136000000000001,54001,send
2.136000000000001,54001,transmit
2.144000000000001,48001,ack
2.144000000000001,55001,send
2.144000000000001,56001,send
2.144000000000001,55001,transmit
2.152000000000001,49001,ack
2.152000000000001,57001,send
2.152000000000001,56001,transmit
2.160000000000001,57001,transmit
2.304000000000001,50001,ack
2.304000000000001,58001,send
2.304000000000001,58001,transmit
2.312000000000001,51001,ack
2.312000000000001,59001,send
2.312000000000001,59001,transmit
2.320000000000001,52001,ack
2.320000000000001,60001,send
2.320000000000001,60001,transmit
2.328000000000001,53001,ack
2.328000000000001,61001,send
2.328000000000001,61001,transmit
